direction,time
s,0
x,1
e,1
w,1
c,1
d,1
x,1
e,1
x,1
s,0
s,0
x,1
s,0
z,1
a,1
s,0
c,1
w,1
z,1
e,1
s,0
s,0
c,1
s,0
w,1
s,0
d,1
z,1
x,1
d,1
d,1
d,1
d,1
z,1
w,1
d,1
a,1
s,0
z,1
q,1
x,1
w,1
s,0
x,1
c,1
d,1
d,1
w,1
q,1
e,1
e,1
c,1
z,1
w,1
s,0
e,1
e,1
z,1
d,1
z,1
s,0
d,1
w,1
d,1
e,1
c,1
e,1
e,1
w,1
c,1
w,1
c,1
x,1
w,1
w,1
w,1
d,1
d,1
z,1
e,1
s,0
w,1
z,1
e,1
e,1
s,0
w,1
w,1
a,1
e,1
x,1
z,1
d,1
s,0
x,1
a,1
x,1
x,1
q,1
x,1
s,0
a,1
w,1
q,1
a,1
c,1
d,1
w,1
w,1
q,1
w,1
c,1
z,1
s,0
w,1
c,1
z,1
a,1
x,1
d,1
q,1
c,1
q,1
s,0
w,1
z,1
e,1
c,1
c,1
